03/31/10                                        MAYNARD CORPORATION                                             PAGE 1
10:31                                          ACTIVE EMPLOYEE REPORT
EMP081


FIRSTNAME   LASTNAME     STREET                CITY            STATE  ZIP    HIREDATE  SEX  DEPT                SALARY
Stephen     McPherson    410 Market St         Boston          MA     02115  06/14/92  M    Data Processing   37800.00
Dennis      Bender       624 Holiday Hill      Burlington      MA     01803  11/20/94  M    Shipping          47400.00
Norman      Ungermann    1615 Del Terrace      Concord         MA     01742  05/17/85  M    Marketing         33500.00
Arnold      Finnley      207 Anglewood Rd      Littleton       MA     01460  05/25/81  M    Shipping          39500.00
William     Daley        5 Dixwell Blvd        Lexington       MA     02173  01/30/83  M    Accounting        39600.00
Mary Beth   Stancowicz   91 Belmont Dr         Maynard         MA     01754  10/11/87  F    Accounting        42600.00
Robert      Tracy        23 Mountain View      Maynard         MA     01754  12/12/87  M    Data Processing   38800.00
Eugene      Bradford     888 Centre Park Rd    Brookline       MA     02146  07/24/95  M    Marketing         62300.00
Doug        Williams     9 Lawrence St         Burlington      MA     01803  02/26/90  M    Data Processing   52200.00
Francis     Lavois       PO Box 1752           Burlington      MA     01803  10/26/93  M    Data Processing   40500.00
William     Connely      248 Washington St     Jamaica Plain   MA     02130  03/12/90  M    Marketing         53000.00
Andrew      Bass         44 South Park St      Fitchburg       MA     01420  03/18/89  M    Data Processing   43400.00
Howard      Loniere      472 North Vincent     Revere          MA     02151  04/30/89  M    Shipping          40250.00
Abe         Carver       101 Mayflower St      Sudbury         MA     01776  04/04/91  M    Shipping          25500.00
Don         Craig        1899 Abilene St       Burlington      MA     01803  08/14/94  M    Production        37100.00
David       Banning      100 Catherine Ave     Burlington      MA     01803  12/18/93  M    Marketing         65500.00
Kelly       Rosenberg    31 Belvedere Dr       Fitchburg       MA     01420  09/02/87  F    Accounting        41300.00
Joshua      Fallon       160th Ct W            Sudbury         MA     01776  01/05/95  M    Marketing         63300.00
Gwen        Davies       22 Punta Del Este     Sudbury         MA     01776  10/23/83  F    Production        32900.00
Oliver      Davies       8 George Dr           Westboro        MA     01581  02/28/85  M    Production        28700.00
Paula       Mendleson    89 Lincoln St         Boston          MA     02135  07/18/85  F    Marketing         48040.00
Marlena     Evans        799 51 St. NE         Lowell          MA     01853  06/04/90  F    Data Processing   44100.00
Elizabeth   Woodruff     364 East Main         Sudbury         MA     01776  06/23/93  F    Accounting        48500.00
Wayne       Sedlinski    PO Box 149            Lowell          MA     01853  04/12/91  M    Shipping          39400.00
George      Miller       13 Scenic Dr.         Millbury        MA     01527  03/18/86  M    Data Processing   35000.00
Barry       Johnston     173 Bolston St        Boston          MA     02172  12/28/86  M    Data Processing   44700.00
Liz         Chandler     255 Denise Rd         Reading         MA     01867  05/04/84  F    Marketing         58900.00
Teresa      Leiberman    254 Wilson Ave        Carlisle        MA     01741  07/03/87  F    Marketing         48250.00
Don         Kincaid      9 Nye Rd              Burlington      MA     01803  03/04/85  M    Production        37300.00
